Project,BugID,Filename,Path,Method name,,Exception,Label,,Exception,,Filename,,Method name
JDT,100868,Main.java,org.eclipse.core.launcher.Main,run,,ClassCastException,,,,,MoveInnerToTopRefactoring.java,,createPartControl
JDT,100868,Main.java,org.eclipse.core.launcher.Main,main,,ClassCastException,,,,,CheckConditionsOperation.java,,createPartHelper
JDT,101174,AbstractDocument.java,org.eclipse.jface.text.AbstractDocument,computeIndexInPositionList,,NullPointerException,,,,,CreateChangeOperation.java,,createPart
JDT,101174,AbstractDocument.java,org.eclipse.jface.text.AbstractDocument,addPosition,,NullPointerException,,,,,Workspace.java,,getPart
JDT,101174,AnnotationModel.java,org.eclipse.jface.text.source.AnnotationModel,addPosition,,NullPointerException,,,,,WorkbenchRunnableAdapter.java,,getEditor
JDT,101174,AnnotationModel.java,org.eclipse.jface.text.source.AnnotationModel,addAnnotation,,NullPointerException,,,,,ModalContext.java,,busyOpenEditorBatched
JDT,101174,AnnotationModel.java,org.eclipse.jface.text.source.AnnotationModel,replaceAnnotations,,NullPointerException,,,,,MockControl.java,,busyOpenEditor
JDT,101174,DefaultJavaFoldingStructureProvider.java,org.eclipse.jdt.internal.ui.text.folding.DefaultJavaFoldingStructureProvider,initialize,,NullPointerException,,,,,ObjectMethodsFilter.java,,access$9
JDT,101174,DefaultJavaFoldingStructureProvider.java,org.eclipse.jdt.internal.ui.text.folding.DefaultJavaFoldingStructureProvider,projectionEnabled,,NullPointerException,,,,,Unknown Source,,run
JDT,101174,ProjectionViewer.java,org.eclipse.jface.text.source.projection.ProjectionViewer,fireProjectionEnabled,,NullPointerException,,,,,FixgateOrderExecutionServiceGatewayApplication.java,,openEditor
JDT,101174,ProjectionViewer.java,org.eclipse.jface.text.source.projection.ProjectionViewer,enableProjection,,NullPointerException,,,,,FixgateOrderExecutionServiceGatewayApplicationTest.java,,openInEditor
JDT,101174,JavaSourceViewer.java,org.eclipse.jdt.internal.ui.javaeditor.JavaSourceViewer,setVisibleDocument,,NullPointerException,,,,,TestCase.java,,open
JDT,101174,TextViewer.java,org.eclipse.jface.text.TextViewer,setDocument,,NullPointerException,,,,,TestResult.java,,run
JDT,101174,SourceViewer.java,org.eclipse.jface.text.source.SourceViewer,setDocument,,NullPointerException,,,,,TestResult.java,,dispatchRun
