Project,BugID,Filename,Path,Method name,,Exception,Label,,,Filename,,Method name,Exception
Hbase,HBASE-10103,TestNodeHealthCheckChore.java,org.apache.hadoop.hbase.TestNodeHealthCheckChore,testRSHealthChore,,AssertionError,,,,HBaseClient.java,,getLogReplication,CorruptedSnapshotException
Hbase,HBASE-10107,Assert.java,org.junit.Assert,fail,,AssertionError,,,,HBaseClient.java,,testLogRollOnDatanodeDeath,IncompatibleClassChangeError
Hbase,HBASE-10107,Assert.java,org.junit.Assert,assertTrue,,AssertionError,,,,WritableRpcEngine.java,,checkClosed,FileAlreadyExistsException
Hbase,HBASE-10107,TestHBaseSaslRpcClient.java,org.apache.hadoop.hbase.security.TestHBaseSaslRpcClient,testHBaseSaslRpcClientCreation,,AssertionError,,,,Unknown Source,,getCurrentBlockReplication,ConstraintException
Hbase,HBASE-10112,AbstractStringBuilder.java,java.lang.AbstractStringBuilder,charAt,,StringIndexOutOfBoundsException,,,,WritableRpcEngine.java,,getNumCurrentReplicas,UnrecoverableKeyException
Hbase,HBASE-10112,StringBuilder.java,java.lang.StringBuilder,charAt,,StringIndexOutOfBoundsException,,,,HBaseRPC.java,,testPermissionsWatcher,SpaceLimitingException
Hbase,HBASE-10112,RowSpec.java,org.apache.hadoop.hbase.rest.RowSpec,parseQueryParams,,StringIndexOutOfBoundsException,,,,HConnectionManager.java,,initializeRegionInternals,CallTimeoutException
Hbase,HBASE-10132,Native Method,sun.security.pkcs11.wrapper.PKCS11,C_DecryptUpdate,,PKCS11Exception,,,,CatalogTracker.java,,initialize,UnrecognizedPropertyException
Hbase,HBASE-10132,P11Cipher.java,sun.security.pkcs11.P11Cipher,implDoFinal,,PKCS11Exception,,,,HMaster.java,,openHRegion,InvalidFamilyOperationException
Hbase,HBASE-10142,Unknown Source,sun.reflect.GeneratedMethodAccessor60,invoke,,ClosedChannelException,,,,TestRegionServerCoprocessorExceptionWithAbort.java,,openRegion,DoNotRetryRegionException
Hbase,HBASE-10142,DelegatingMethodAccessorImpl.java,sun.reflect.DelegatingMethodAccessorImpl,invoke,,ClosedChannelException,,,,Native Method,,process,TimeoutException
Hbase,HBASE-10142,Method.java,java.lang.reflect.Method,invoke,,ClosedChannelException,,,,SocketChannelImpl.java,,run,InvalidEncryptionKeyException
Hbase,HBASE-10142,FSHLog.java,org.apache.hadoop.hbase.regionserver.wal.FSHLog,getLogReplication,,ClosedChannelException,,,,ClientCnxnSocketNIO.java,,runWorker, '' Token Parsing Error
Hbase,HBASE-10142,TestLogRolling.java,org.apache.hadoop.hbase.regionserver.wal.TestLogRolling,testLogRollOnDatanodeDeath,,ClosedChannelException,,,,ClientCnxn.java,,loadStoreFiles,HBaseIOException
