Bug ID,Commit Files
HBASE-10433,"* b75d3a54c1554d625c256cd4d72396dd9b4d0f38 HBASE-10433 SecureProtobufWALReader does not handle unencrypted WALs if configured to encrypt (Anoop Sam John)
  hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/wal/SecureProtobufLogReader.java"
HBASE-10438,"* 475420205c05adf821896d6e4c436a428ee8981a HBASE-10438 NPE from LRUDictionary when size reaches the max init value (Ramkrishna S. Vasudevan)
  hbase-common/src/main/java/org/apache/hadoop/hbase/io/encoding/BufferedDataBlockEncoder.java"
HBASE-10443,"* d5a347591c30c316e3b37d88f043f47b33bb179c HBASE-10443-IndexOutOfBoundExceptions when processing compressed tags in HFile(Ramkrishna S Vasudevan)
  hbase-client/src/main/java/org/apache/hadoop/hbase/HColumnDescriptor.java
  hbase-common/src/main/java/org/apache/hadoop/hbase/io/hfile/HFileContextBuilder.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HStore.java"
HBASE-10446,"* b3b3d0ddff8610bf7084b36ba6531c94da8b4da8 HBASE-10446 Backup master gives Error 500 for debug dump
  hbase-server/src/main/java/org/apache/hadoop/hbase/master/MasterDumpServlet.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/monitoring/StateDumpServlet.java"
HBASE-1045,"* 80eb7de81d1af33b2bf3072952f89458e5db0cb1 HBASE-1045  Hangup by regionserver causes write to fail
  CHANGES.txt
  src/java/org/apache/hadoop/hbase/client/HConnectionManager.java"
HBASE-10452,"* f1ad5cb93837e8d07d9d08da7c1a48caf74bbe9f HBASE-10452 Fix potential bugs in exception handlers (Ding Yuan)
  hbase-client/src/main/java/org/apache/hadoop/hbase/client/ClientScanner.java
  hbase-client/src/main/java/org/apache/hadoop/hbase/client/Get.java
  hbase-client/src/main/java/org/apache/hadoop/hbase/client/Scan.java
  hbase-common/src/main/java/org/apache/hadoop/hbase/HBaseConfiguration.java
  hbase-common/src/main/java/org/apache/hadoop/hbase/util/JVM.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/KeyPrefixRegionSplitPolicy.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/RegionMergeRequest.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/SplitRequest.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/wal/SequenceFileLogReader.java"
HBASE-10476,"* 98cf3e27ee5fa30b962984629cc4195e5bb38276 HBASE-10476 HBase Master log grows very fast after stopped hadoop (due to connection exception) (Demai Ni)
  hbase-server/src/main/java/org/apache/hadoop/hbase/executor/EventHandler.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/master/handler/MetaServerShutdownHandler.java"
HBASE-10499,"* 74adb11f4c504abbb6a52de72b53883ad7b952b4 HBASE-10499 In write heavy scenario one of the regions does not get flushed causing RegionTooBusyException (Ram and Ted)
  hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/MemStoreFlusher.java
  hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestFlushRegionEntry.java"
HBASE-10500,"* e6fa0cf92d53fb8c30867496750d765e9c07fc1b HBASE-10500 Some tools OOM when BucketCache is enabled
  hbase-server/src/main/java/org/apache/hadoop/hbase/mapreduce/LoadIncrementalHFiles.java
  hbase-server/src/main/java/org/apache/hadoop/hbase/util/HBaseFsck.java"
HBASE-10506,"* c14dd4f5153caaa4c2ed9d45c3573a279bae553e HBASE-10506 Fail-fast if client connection is lost before the real call be executed in RPC layer
  hbase-server/src/main/java/org/apache/hadoop/hbase/ipc/CallRunner.java"
