Project,BugID,Filename,Method name,Path,Exception,Label
JDT,274364,Method.java,invoke,java.lang.reflect.Method,NullPointerException,Misleading
JDT,274364,Main.java,invokeFramework,org.eclipse.equinox.launcher.Main,NullPointerException,Misleading
JDT,274364,Main.java,basicRun,org.eclipse.equinox.launcher.Main,NullPointerException,Misleading
JDT,274364,Main.java,run,org.eclipse.equinox.launcher.Main,NullPointerException,Misleading
JDT,274364,Main.java,main,org.eclipse.equinox.launcher.Main,NullPointerException,Misleading
JDT,276466,AbstractList.java,add,java.util.AbstractList,UnsupportedOperationException,Misleading
JDT,276466,ExpandWithConstructorsConfigurationBlock.java,getDefaultExpandWithConstructorsMembers,org.eclipse.jdt.internal.ui.callhierarchy.ExpandWithConstructorsConfigurationBlock,UnsupportedOperationException,Misleading
JDT,276466,ExpandWithConstructorsConfigurationBlock.java,initializeFields,org.eclipse.jdt.internal.ui.callhierarchy.ExpandWithConstructorsConfigurationBlock,UnsupportedOperationException,Misleading
JDT,276466,ExpandWithConstructorsConfigurationBlock.java,initialize,org.eclipse.jdt.internal.ui.callhierarchy.ExpandWithConstructorsConfigurationBlock,UnsupportedOperationException,Misleading
JDT,276466,ExpandWithConstructorsConfigurationBlock.java,createContents,org.eclipse.jdt.internal.ui.callhierarchy.ExpandWithConstructorsConfigurationBlock,UnsupportedOperationException,Misleading
JDT,276466,ExpandWithConstructorsDialog.java,createDialogArea,org.eclipse.jdt.internal.ui.callhierarchy.ExpandWithConstructorsDialog,UnsupportedOperationException,Misleading
JDT,280123,TreeLineTracker.java,fail,org.eclipse.jface.text.TreeLineTracker,BadLocationException,Misleading
JDT,280123,TreeLineTracker.java,getLineInformationOfOffset,org.eclipse.jface.text.TreeLineTracker,BadLocationException,Misleading
JDT,280123,AbstractLineTracker.java,getLineInformationOfOffset,org.eclipse.jface.text.AbstractLineTracker,BadLocationException,Misleading
JDT,280123,AbstractDocument.java,getLineInformationOfOffset,org.eclipse.jface.text.AbstractDocument,BadLocationException,Misleading
JDT,280123,SynchronizableDocument.java,getLineInformationOfOffset,org.eclipse.core.internal.filebuffers.SynchronizableDocument,BadLocationException,Misleading
JDT,280123,JavaAutoIndentStrategy.java,smartPaste,org.eclipse.jdt.internal.ui.text.java.JavaAutoIndentStrategy,BadLocationException,Misleading
JDT,280123,JavaAutoIndentStrategy.java,customizeDocumentCommand,org.eclipse.jdt.internal.ui.text.java.JavaAutoIndentStrategy,BadLocationException,Misleading
JDT,280123,TextViewer.java,customizeDocumentCommand,org.eclipse.jface.text.TextViewer,BadLocationException,Misleading
JDT,280123,TextViewer.java,handleVerifyEvent,org.eclipse.jface.text.TextViewer,BadLocationException,Misleading
JDT,280123,ProjectionViewer.java,handleVerifyEvent,org.eclipse.jface.text.source.projection.ProjectionViewer,BadLocationException,Misleading
JDT,280123,TextViewer.java,verifyText,org.eclipse.jface.text.TextViewer$TextVerifyListener,BadLocationException,Misleading
JDT,280123,TypedListener.java,handleEvent,org.eclipse.swt.widgets.TypedListener,BadLocationException,Misleading
JDT,280123,EventTable.java,sendEvent,org.eclipse.swt.widgets.EventTable,BadLocationException,Misleading
JDT,280123,Widget.java,sendEvent,org.eclipse.swt.widgets.Widget,BadLocationException,Misleading
JDT,280123,Widget.java,notifyListeners,org.eclipse.swt.widgets.Widget,BadLocationException,Misleading
JDT,280123,StyledText.java,modifyContent,org.eclipse.swt.custom.StyledText,BadLocationException,Misleading
JDT,280123,StyledText.java,sendKeyEvent,org.eclipse.swt.custom.StyledText,BadLocationException,Misleading
JDT,280123,StyledText.java,paste,org.eclipse.swt.custom.StyledText,BadLocationException,Misleading
JDT,280123,TextViewer.java,paste,org.eclipse.jface.text.TextViewer,BadLocationException,Misleading
JDT,280123,TextViewer.java,doOperation,org.eclipse.jface.text.TextViewer,BadLocationException,Misleading
JDT,280123,SourceViewer.java,doOperation,org.eclipse.jface.text.source.SourceViewer,BadLocationException,Misleading
JDT,280123,ProjectionViewer.java,doOperation,org.eclipse.jface.text.source.projection.ProjectionViewer,BadLocationException,Misleading
JDT,280123,JavaSourceViewer.java,doOperation,org.eclipse.jdt.internal.ui.javaeditor.JavaSourceViewer,BadLocationException,Misleading
JDT,280123,CompilationUnitEditor.java,doOperation,org.eclipse.jdt.internal.ui.javaeditor.CompilationUnitEditor$AdaptedSourceViewer,BadLocationException,Misleading
JDT,280123,ClipboardOperationAction.java,doPasteWithImportsOperation,org.eclipse.jdt.internal.ui.javaeditor.ClipboardOperationAction,BadLocationException,Misleading
JDT,280123,ClipboardOperationAction.java,internalDoOperation,org.eclipse.jdt.internal.ui.javaeditor.ClipboardOperationAction,BadLocationException,Misleading
JDT,280123,ClipboardOperationAction.java,run,org.eclipse.jdt.internal.ui.javaeditor.ClipboardOperationAction$1,BadLocationException,Misleading
JDT,280123,BusyIndicator.java,showWhile,org.eclipse.swt.custom.BusyIndicator,BadLocationException,Misleading
JDT,280123,Action.java,runWithEvent,org.eclipse.jface.action.Action,BadLocationException,Misleading
JDT,280123,ActionHandler.java,execute,org.eclipse.ui.commands.ActionHandler,BadLocationException,Misleading
JDT,280123,LegacyHandlerWrapper.java,execute,org.eclipse.ui.internal.handlers.LegacyHandlerWrapper,BadLocationException,Misleading
JDT,280123,Command.java,executeWithChecks,org.eclipse.core.commands.Command,BadLocationException,Misleading
JDT,280123,ParameterizedCommand.java,executeWithChecks,org.eclipse.core.commands.ParameterizedCommand,BadLocationException,Misleading
JDT,280123,HandlerService.java,executeCommand,org.eclipse.ui.internal.handlers.HandlerService,BadLocationException,Misleading
JDT,280123,WorkbenchKeyboard.java,executeCommand,org.eclipse.ui.internal.keys.WorkbenchKeyboard,BadLocationException,Misleading
JDT,280123,WorkbenchKeyboard.java,press,org.eclipse.ui.internal.keys.WorkbenchKeyboard,BadLocationException,Misleading
JDT,280123,WorkbenchKeyboard.java,processKeyEvent,org.eclipse.ui.internal.keys.WorkbenchKeyboard,BadLocationException,Misleading
JDT,280123,WorkbenchKeyboard.java,filterKeySequenceBindings,org.eclipse.ui.internal.keys.WorkbenchKeyboard,BadLocationException,Misleading
JDT,280123,WorkbenchKeyboard.java,access$3,org.eclipse.ui.internal.keys.WorkbenchKeyboard,BadLocationException,Misleading
JDT,280123,WorkbenchKeyboard.java,handleEvent,org.eclipse.ui.internal.keys.WorkbenchKeyboard$KeyDownFilter,BadLocationException,Misleading
JDT,280123,Display.java,filterEvent,org.eclipse.swt.widgets.Display,BadLocationException,Misleading
JDT,280123,Widget.java,sendKeyEvent,org.eclipse.swt.widgets.Widget,BadLocationException,Misleading
JDT,280123,Widget.java,XKeyPress,org.eclipse.swt.widgets.Widget,BadLocationException,Misleading
JDT,280123,Composite.java,XKeyPress,org.eclipse.swt.widgets.Composite,BadLocationException,Misleading
JDT,280123,Widget.java,windowProc,org.eclipse.swt.widgets.Widget,BadLocationException,Misleading
JDT,280123,Display.java,windowProc,org.eclipse.swt.widgets.Display,BadLocationException,Misleading
JDT,280123,Native Method,_XtDispatchEvent,org.eclipse.swt.internal.motif.OS,BadLocationException,Misleading
JDT,280123,OS.java,XtDispatchEvent,org.eclipse.swt.internal.motif.OS,BadLocationException,Misleading
JDT,280123,Display.java,readAndDispatch,org.eclipse.swt.widgets.Display,BadLocationException,Misleading
JDT,280123,Workbench.java,runEventLoop,org.eclipse.ui.internal.Workbench,BadLocationException,Misleading
JDT,280123,Workbench.java,runUI,org.eclipse.ui.internal.Workbench,BadLocationException,Misleading
JDT,280123,Workbench.java,access$4,org.eclipse.ui.internal.Workbench,BadLocationException,Misleading
JDT,280123,Workbench.java,run,org.eclipse.ui.internal.Workbench$5,BadLocationException,Misleading
JDT,280123,Realm.java,runWithDefault,org.eclipse.core.databinding.observable.Realm,BadLocationException,Misleading
JDT,280123,Workbench.java,createAndRunWorkbench,org.eclipse.ui.internal.Workbench,BadLocationException,Misleading
JDT,280123,PlatformUI.java,createAndRunWorkbench,org.eclipse.ui.PlatformUI,BadLocationException,Misleading
JDT,280123,IDEApplication.java,start,org.eclipse.ui.internal.ide.application.IDEApplication,BadLocationException,Misleading
JDT,280123,EclipseAppHandle.java,run,org.eclipse.equinox.internal.app.EclipseAppHandle,BadLocationException,Misleading
JDT,280123,EclipseAppLauncher.java,runApplication,org.eclipse.core.runtime.internal.adaptor.EclipseAppLauncher,BadLocationException,Misleading
JDT,280123,EclipseAppLauncher.java,start,org.eclipse.core.runtime.internal.adaptor.EclipseAppLauncher,BadLocationException,Misleading
JDT,280123,EclipseStarter.java,run,org.eclipse.core.runtime.adaptor.EclipseStarter,BadLocationException,Misleading
JDT,280123,Native Method,invoke0,sun.reflect.NativeMethodAccessorImpl,BadLocationException,Misleading
JDT,280123,NativeMethodAccessorImpl.java,invoke,sun.reflect.NativeMethodAccessorImpl,BadLocationException,Misleading
JDT,280123,DelegatingMethodAccessorImpl.java,invoke,sun.reflect.DelegatingMethodAccessorImpl,BadLocationException,Misleading
JDT,280123,Method.java,invoke,java.lang.reflect.Method,BadLocationException,Misleading
JDT,280123,Main.java,invokeFramework,org.eclipse.equinox.launcher.Main,BadLocationException,Misleading
JDT,280123,Main.java,basicRun,org.eclipse.equinox.launcher.Main,BadLocationException,Misleading
JDT,280123,Main.java,run,org.eclipse.equinox.launcher.Main,BadLocationException,Misleading
JDT,280123,Main.java,main,org.eclipse.equinox.launcher.Main,BadLocationException,Misleading
JDT,280193,CompilationUnitRewriteOperationsFix.java,createChange,org.eclipse.jdt.internal.corext.fix.CompilationUnitRewriteOperationsFix,CoreException,Misleading
JDT,280193,FixCorrectionProposal.java,createTextChange,org.eclipse.jdt.internal.ui.text.correction.proposals.FixCorrectionProposal,CoreException,Misleading
JDT,280193,CUCorrectionProposal.java,createChange,org.eclipse.jdt.internal.ui.text.correction.proposals.CUCorrectionProposal,CoreException,Misleading
JDT,280193,ChangeCorrectionProposal.java,getChange,org.eclipse.jdt.internal.ui.text.correction.proposals.ChangeCorrectionProposal,CoreException,Misleading
JDT,280193,CUCorrectionProposal.java,getTextChange,org.eclipse.jdt.internal.ui.text.correction.proposals.CUCorrectionProposal,CoreException,Misleading
JDT,280193,CUCorrectionProposal.java,getAdditionalProposalInfo,org.eclipse.jdt.internal.ui.text.correction.proposals.CUCorrectionProposal,CoreException,Misleading
JDT,280193,FixCorrectionProposal.java,getAdditionalProposalInfo,org.eclipse.jdt.internal.ui.text.correction.proposals.FixCorrectionProposal,CoreException,Misleading
JDT,280193,AdditionalInfoController.java,run,org.eclipse.jface.text.contentassist.AdditionalInfoController$3,CoreException,Misleading
JDT,280193,Worker.java,run,org.eclipse.core.internal.jobs.Worker,CoreException,Misleading
JDT,284769,ModalContext.java,run,org.eclipse.jface.operation.ModalContext,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,WizardDialog.java,run,org.eclipse.jface.wizard.WizardDialog,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,RefactoringWizard.java,createChange,org.eclipse.ltk.ui.refactoring.RefactoringWizard,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,RefactoringWizard.java,computeUserInputSuccessorPage,org.eclipse.ltk.ui.refactoring.RefactoringWizard,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,UserInputWizardPage.java,computeSuccessorPage,org.eclipse.ltk.ui.refactoring.UserInputWizardPage,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,UserInputWizardPage.java,getNextPage,org.eclipse.ltk.ui.refactoring.UserInputWizardPage,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,PullUpMethodPage.java,getNextPage,org.eclipse.jdt.internal.ui.refactoring.PullUpMethodPage,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,WizardDialog.java,nextPressed,org.eclipse.jface.wizard.WizardDialog,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,WizardDialog.java,buttonPressed,org.eclipse.jface.wizard.WizardDialog,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,Dialog.java,widgetSelected,org.eclipse.jface.dialogs.Dialog$2,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,TypedListener.java,handleEvent,org.eclipse.swt.widgets.TypedListener,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,EventTable.java,sendEvent,org.eclipse.swt.widgets.EventTable,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,Widget.java,sendEvent,org.eclipse.swt.widgets.Widget,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,Display.java,runDeferredEvents,org.eclipse.swt.widgets.Display,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,Display.java,readAndDispatch,org.eclipse.swt.widgets.Display,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,Window.java,runEventLoop,org.eclipse.jface.window.Window,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,Window.java,open,org.eclipse.jface.window.Window,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,RefactoringWizardOpenOperation.java,run,org.eclipse.ltk.ui.refactoring.RefactoringWizardOpenOperation$1,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,BusyIndicator.java,showWhile,org.eclipse.swt.custom.BusyIndicator,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,RefactoringStarter.java,activate,org.eclipse.jdt.internal.ui.refactoring.actions.RefactoringStarter,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,RefactoringExecutionStarter.java,startExtractSupertypeRefactoring,org.eclipse.jdt.internal.corext.refactoring.RefactoringExecutionStarter,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,ExtractSuperClassAction.java,run,org.eclipse.jdt.internal.ui.actions.ExtractSuperClassAction,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,SelectionDispatchAction.java,dispatchRun,org.eclipse.jdt.ui.actions.SelectionDispatchAction,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,SelectionDispatchAction.java,run,org.eclipse.jdt.ui.actions.SelectionDispatchAction,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,Action.java,runWithEvent,org.eclipse.jface.action.Action,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,ActionContributionItem.java,handleWidgetSelection,org.eclipse.jface.action.ActionContributionItem,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,ActionContributionItem.java,access$2,org.eclipse.jface.action.ActionContributionItem,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,ActionContributionItem.java,handleEvent,org.eclipse.jface.action.ActionContributionItem$5,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,Workbench.java,runEventLoop,org.eclipse.ui.internal.Workbench,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,Workbench.java,runUI,org.eclipse.ui.internal.Workbench,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,Workbench.java,access$4,org.eclipse.ui.internal.Workbench,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,Workbench.java,run,org.eclipse.ui.internal.Workbench$5,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,Realm.java,runWithDefault,org.eclipse.core.databinding.observable.Realm,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,Workbench.java,createAndRunWorkbench,org.eclipse.ui.internal.Workbench,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,PlatformUI.java,createAndRunWorkbench,org.eclipse.ui.PlatformUI,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,IDEApplication.java,start,org.eclipse.ui.internal.ide.application.IDEApplication,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,EclipseAppHandle.java,run,org.eclipse.equinox.internal.app.EclipseAppHandle,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,EclipseAppLauncher.java,runApplication,org.eclipse.core.runtime.internal.adaptor.EclipseAppLauncher,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,EclipseAppLauncher.java,start,org.eclipse.core.runtime.internal.adaptor.EclipseAppLauncher,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,EclipseStarter.java,run,org.eclipse.core.runtime.adaptor.EclipseStarter,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,Native Method,invoke0,sun.reflect.NativeMethodAccessorImpl,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,NativeMethodAccessorImpl.java,invoke,sun.reflect.NativeMethodAccessorImpl,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,DelegatingMethodAccessorImpl.java,invoke,sun.reflect.DelegatingMethodAccessorImpl,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,Method.java,invoke,java.lang.reflect.Method,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,Main.java,invokeFramework,org.eclipse.equinox.launcher.Main,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,Main.java,basicRun,org.eclipse.equinox.launcher.Main,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,Main.java,run,org.eclipse.equinox.launcher.Main,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,SuperTypeConstraintsModel.java,createMethodParameterVariable,org.eclipse.jdt.internal.corext.refactoring.structure.constraints.SuperTypeConstraintsModel,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,SuperTypeConstraintsCreator.java,endVisit,org.eclipse.jdt.internal.corext.refactoring.structure.constraints.SuperTypeConstraintsCreator,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,ClassInstanceCreation.java,accept0,org.eclipse.jdt.core.dom.ClassInstanceCreation,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,ASTNode.java,accept,org.eclipse.jdt.core.dom.ASTNode,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,ASTNode.java,acceptChild,org.eclipse.jdt.core.dom.ASTNode,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,VariableDeclarationFragment.java,accept0,org.eclipse.jdt.core.dom.VariableDeclarationFragment,ArrayIndexOutOfBoundsException,Misleading
JDT,284769,ASTNode.java,acceptChildren,org.eclipse.jdt.core.dom.ASTNode,ArrayIndexOutOfBoundsException,Misleading
